"Consumption Component Class ID","Measurement Quantity ID","Data Aggregation Type","Metered/Unmetered Indicator","Consumption Component Indicator","Actual/Estimated Indicator","AA/EAC Indicator"
"6","AE","H","M","C","A",""
"7","AE","H","M","M","A",""
"8","AE","H","M","L","A",""
"14","AE","H","M","C","E",""
"15","AE","H","M","M","E",""
"16","AE","H","M","L","E",""
"32","AE","N","M","C","","E"
"33","AE","N","M","C","","A"
"34","AE","N","M","L","","E"
"35","AE","N","M","L","","A"
"36","AE","H","M","C","A",""
"37","AE","H","M","M","A",""
"38","AE","H","M","L","A",""
"39","AE","H","M","C","E",""
"40","AE","H","M","M","E",""
"41","AE","H","M","L","E",""
"48","AE","H","M","C","A",""
"49","AE","H","M","M","A",""
"50","AE","H","M","L","A",""
"51","AE","H","M","C","E",""
"52","AE","H","M","M","E",""
"53","AE","H","M","L","E",""
"60","AE","H","M","C","A",""
"61","AE","H","M","M","A",""
"62","AE","H","M","L","A",""
"63","AE","H","M","C","E",""
"64","AE","H","M","M","E",""
"65","AE","H","M","L","E",""
"1","AI","H","M","C","A",""
"2","AI","H","U","C","A",""
"3","AI","H","M","M","A",""
"4","AI","H","M","L","A",""
"5","AI","H","U","L","A",""
"9","AI","H","M","C","E",""
"10","AI","H","U","C","E",""
"11","AI","H","M","M","E",""
"12","AI","H","M","L","E",""
"13","AI","H","U","L","E",""
"17","AI","N","M","C","","E"
"18","AI","N","M","C","","A"
"19","AI","N","U","C","","E"
"20","AI","N","M","L","","E"
"21","AI","N","M","L","","A"
"22","AI","N","U","L","","E"
"23","AI","H","M","C","A",""
"25","AI","H","M","M","A",""
"26","AI","H","M","L","A",""
"28","AI","H","M","C","E",""
"30","AI","H","M","M","E",""
"31","AI","H","M","L","E",""
"42","AI","H","M","C","A",""
"43","AI","H","M","M","A",""
"44","AI","H","M","L","A",""
"45","AI","H","M","C","E",""
"46","AI","H","M","M","E",""
"47","AI","H","M","L","E",""
"54","AI","H","M","C","A",""
"55","AI","H","M","M","A",""
"56","AI","H","M","L","A",""
"57","AI","H","M","C","E",""
"58","AI","H","M","M","E",""
"59","AI","H","M","L","E",""
