"GSP Group ID","Market Participant ID","Market Participant Role Code","Effective From Date (MPR)","Effective From Date (IAA)","Effective To Date (IAA)"
"_A","CAPG","G","01/04/1996","01/04/1996",""
"_B","CAPG","G","01/04/1996","01/04/1996",""
"_C","CAPG","G","01/04/1996","01/04/1996",""
"_D","CAPG","G","01/04/1996","01/04/1996",""
"_E","CAPG","G","01/04/1996","01/04/1996",""
"_F","CAPG","G","01/04/1996","01/04/1996",""
"_G","CAPG","G","01/04/1996","01/04/1996",""
"_H","CAPG","G","01/04/1996","01/04/1996",""
"_J","CAPG","G","01/04/1996","01/04/1996",""
"_K","CAPG","G","01/04/1996","01/04/1996",""
"_L","CAPG","G","01/04/1996","01/04/1996",""
"_M","CAPG","G","01/04/1996","01/04/1996",""
"_N","SESL","G","01/04/1996","01/04/1996","31/03/2005"
"_N","CAPG","G","01/04/1996","01/04/2005",""
"_P","SESL","G","01/04/1996","01/04/1996","31/03/2005"
"_P","CAPG","G","01/04/1996","01/04/2005",""
