"Year","Season ID","Start Month","Start Day","End Day","End Month"
"1996","1","1","1","30","3"
"1996","1","10","27","31","12"
"1996","2","3","31","10","5"
"1996","3","5","11","19","7"
"1996","4","7","20","1","9"
"1996","5","9","2","26","10"
"1997","1","1","1","29","3"
"1997","1","10","26","31","12"
"1997","2","3","30","9","5"
"1997","3","5","10","18","7"
"1997","4","7","19","31","8"
"1997","5","9","1","25","10"
"1998","1","1","1","28","3"
"1998","1","10","25","31","12"
"1998","2","3","29","15","5"
"1998","3","5","16","24","7"
"1998","4","7","25","6","9"
"1998","5","9","7","24","10"
"1999","1","1","1","27","3"
"1999","1","10","31","31","12"
"1999","2","3","28","7","5"
"1999","3","5","8","16","7"
"1999","4","7","17","5","9"
"1999","5","9","6","30","10"
"2000","1","1","1","25","3"
"2000","1","10","29","31","12"
"2000","2","3","26","12","5"
"2000","3","5","13","21","7"
"2000","4","7","22","3","9"
"2000","5","9","4","28","10"
"2001","1","1","1","24","3"
"2001","1","10","28","31","12"
"2001","2","3","25","11","5"
"2001","3","5","12","20","7"
"2001","4","7","21","2","9"
"2001","5","9","3","27","10"
"2002","1","1","1","30","3"
"2002","1","10","27","31","12"
"2002","2","3","31","10","5"
"2002","3","5","11","19","7"
"2002","4","7","20","1","9"
"2002","5","9","2","26","10"
"2003","1","1","1","29","3"
"2003","1","10","26","31","12"
"2003","2","3","30","9","5"
"2003","3","5","10","18","7"
"2003","4","7","19","31","8"
"2003","5","9","1","25","10"
"2004","1","1","1","27","3"
"2004","1","10","31","31","12"
"2004","2","3","28","14","5"
"2004","3","5","15","23","7"
"2004","4","7","24","5","9"
"2004","5","9","6","30","10"
"2005","1","1","1","26","3"
"2005","1","10","30","31","12"
"2005","2","3","27","13","5"
"2005","3","5","14","22","7"
"2005","4","7","23","4","9"
"2005","5","9","5","29","10"
"2006","1","1","1","25","3"
"2006","1","10","29","31","12"
"2006","2","3","26","12","5"
"2006","3","5","13","21","7"
"2006","4","7","22","3","9"
"2006","5","9","4","28","10"
"2007","1","1","1","24","3"
"2007","1","10","28","31","12"
"2007","2","3","25","11","5"
"2007","3","5","12","20","7"
"2007","4","7","21","2","9"
"2007","5","9","3","27","10"
"2008","1","1","1","29","3"
"2008","1","10","26","31","12"
"2008","2","3","30","9","5"
"2008","3","5","10","18","7"
"2008","4","7","19","31","8"
"2008","5","9","1","25","10"
"2009","1","1","1","28","3"
"2009","1","10","25","31","12"
"2009","2","3","29","31","3"
"2009","2","4","1","15","5"
"2009","3","5","16","24","7"
"2009","4","7","25","6","9"
"2009","5","9","7","24","10"
"2010","1","1","1","27","3"
"2010","1","10","31","31","12"
"2010","2","3","28","31","3"
"2010","2","4","1","14","5"
"2010","3","5","15","23","7"
"2010","4","7","24","5","9"
"2010","5","9","6","30","10"
"2011","1","1","1","26","3"
"2011","1","10","30","31","12"
"2011","2","3","27","31","3"
"2011","2","4","1","13","5"
"2011","3","5","14","22","7"
"2011","4","7","23","4","9"
"2011","5","9","5","29","10"
"2012","1","1","1","24","3"
"2012","1","10","28","31","12"
"2012","2","3","25","31","3"
"2012","2","4","1","11","5"
"2012","3","5","12","20","7"
"2012","4","7","21","2","9"
"2012","5","9","3","27","10"
"2013","1","1","1","30","3"
"2013","1","10","27","31","12"
"2013","2","3","31","31","3"
"2013","2","4","1","10","5"
"2013","3","5","11","19","7"
"2013","4","7","20","1","9"
"2013","5","9","2","26","10"
"2014","1","1","1","29","3"
"2014","1","10","26","31","12"
"2014","2","3","30","31","3"
"2014","2","4","1","9","5"
"2014","3","5","10","18","7"
"2014","4","7","19","31","8"
"2014","5","9","1","25","10"
"2015","1","1","1","28","3"
"2015","1","10","25","31","12"
"2015","2","3","29","31","3"
"2015","2","4","1","15","5"
"2015","3","5","16","24","7"
"2015","4","7","25","6","9"
"2015","5","9","7","24","10"
"2016","1","1","1","26","3"
"2016","1","10","30","31","12"
"2016","2","3","27","31","3"
"2016","2","4","1","13","5"
"2016","3","5","14","22","7"
"2016","4","7","23","4","9"
"2016","5","9","5","29","10"
"2017","1","1","1","25","3"
"2017","1","10","29","31","12"
"2017","2","3","26","31","3"
"2017","2","4","1","12","5"
"2017","3","5","13","21","7"
"2017","4","7","22","3","9"
"2017","5","9","4","28","10"
"2018","1","1","1","24","3"
"2018","1","10","28","31","12"
"2018","2","3","25","31","3"
"2018","2","4","1","11","5"
"2018","3","5","12","20","7"
"2018","4","7","21","2","9"
"2018","5","9","3","27","10"
"2019","1","1","1","30","3"
"2019","1","10","27","31","12"
"2019","2","3","31","31","3"
"2019","2","4","1","10","5"
"2019","3","5","11","19","7"
"2019","4","7","20","1","9"
"2019","5","9","2","26","10"
"2020","1","1","1","28","3"
"2020","1","10","25","31","12"
"2020","2","3","29","31","3"
"2020","2","4","1","15","5"
"2020","3","5","16","24","7"
"2020","4","7","25","6","9"
"2020","5","9","7","24","10"
"2021","1","1","1","27","3"
"2021","1","10","31","31","12"
"2021","2","3","28","31","3"
"2021","2","4","1","14","5"
"2021","3","5","15","23","7"
"2021","4","7","24","5","9"
"2021","5","9","6","30","10"
"2022","1","1","1","26","3"
"2022","1","10","30","31","12"
"2022","2","3","27","31","3"
"2022","2","4","1","13","5"
"2022","3","5","14","22","7"
"2022","4","7","23","4","9"
"2022","5","9","5","29","10"
"2023","1","1","1","25","3"
"2023","1","10","29","31","12"
"2023","2","3","26","31","3"
"2023","2","4","1","12","5"
"2023","3","5","13","21","7"
"2023","4","7","22","3","9"
"2023","5","9","4","28","10"
"2024","1","1","1","30","3"
"2024","1","10","27","31","12"
"2024","2","3","31","31","3"
"2024","2","4","1","10","5"
"2024","3","5","11","19","7"
"2024","4","7","20","1","9"
"2024","5","9","2","26","10"
"2025","1","1","1","29","3"
"2025","1","10","26","31","12"
"2025","2","3","30","31","3"
"2025","2","4","1","9","5"
"2025","3","5","10","18","7"
"2025","4","7","19","31","8"
"2025","5","9","1","25","10"
"2026","1","1","1","28","3"
"2026","2","3","29","31","3"
